Under_1_year,1–4,5–14,15–24,25–34,35–44,45–54,55–64,65–74,75–84,85_and_over
7.4,0.7,0.5,2.2,7.7,25.9,79.5,189.6,392.5,1037.1,3873.4
7.3,0.9,0.5,2.3,8,25.6,79.3,188.1,389.5,1071.6,3986.5
8,0.9,0.5,2.2,7.7,25.6,80.1,185.8,385.2,1070.2,3920.9
7.8,1.1,0.4,2.1,7.6,25.6,80.3,184.6,390.3,1095.1,4013.9
8.5,1,0.4,2.2,7.6,25.9,79.7,184.6,388.3,1103.7,4046.1
7.7,1,0.5,2.3,7.9,26.2,80.7,183.2,399,1134.7,4111.6
8.3,1,0.5,2.4,7.8,25.8,81.6,186.6,409.2,1172,4285.2
9.6,0.9,0.5,2.4,7.8,26.7,82.3,190,422.8,1210.8,4316.9
9.6,1.2,0.6,2.5,8.1,26.9,85.2,195.3,441.4,1217.7,4598.4
10.2,1.1,0.6,2.5,8.1,27.7,85.2,197.8,454.8,1308.6,4668.1
8.6,1,0.6,2.5,8.4,28.5,88,205.1,483,1378,4877.6
8.9,0.9,0.6,2.6,8.3,29.2,89.7,212.8,512.3,1458.5,5188.3
10.5,1.2,0.6,2.5,8.1,29.5,90.2,217.1,535.7,1504.1,5233.8
11,1.2,0.6,2.7,8.3,30.8,92.4,232.3,579.8,1607.7,5570.7
12.7,1.1,0.6,2.5,8,30.7,93.9,240.5,612,1673.2,5726.3
11.9,1.5,0.7,2.5,8,29.6,92.4,248.9,632.6,1723,5784.1
13,1.2,0.7,2.6,7.4,29.2,94.2,261.2,665.6,1780.3,5926.1
13.8,1.2,0.7,2.8,7.6,30.2,95.7,269.9,701.7,1849.9,6063
1.7,2.4,2.1,3.3,8.5,26.9,96.5,280.6,578.3,1081.7,1620.3
1.3,2.2,2.1,3.4,8.4,26.9,99.7,284.1,594.3,1100.8,1628.6
1.3,2,2.1,3.6,8.3,27.8,103.2,287.6,603.1,1125.9,1632.9
1.6,2.1,2.2,3.4,8.6,28.1,105.5,288.2,616.9,1139.4,1635.4
1.6,2.4,2.2,3.6,8.7,28,108.5,293.2,632.2,1161.7,1658.9
1.8,2.2,2.1,3.7,8.4,28.8,109.3,295.8,647.6,1179.1,1676.2
1.6,2.1,2.2,3.7,8.8,28.8,111.6,300.1,666.1,1202.2,1729.5
1.8,2.2,2.2,3.8,9,30.2,112.8,301.7,668.2,1213,1699.3
1.7,2.4,2.2,3.8,8.8,30.1,113.4,304.7,688.4,1230.9,1724.6
1.7,2.3,2.4,3.8,8.7,31,114.2,311.4,702.9,1250.1,1739.4
1.9,2.4,2.2,3.8,9.3,32.2,116.3,317.7,716.3,1259.2,1748.3
1.9,2.4,2.5,4,9.2,33.5,118.6,323.9,733.2,1272.8,1778.2
1.8,2.5,2.5,4.1,9.3,33.6,119,330.8,746.8,1278.6,1767.4
1.9,2.5,2.6,4,9.5,35.1,122.1,341.6,763.5,1299.7,1792.3
1.9,2.6,2.6,4.2,9.8,36,124.1,349.7,787.2,1308.8,1812.4
1.6,2.7,2.4,4.2,10.1,36.8,125.8,359.4,799.7,1313.7,1802.9
2.4,2.7,2.5,4.4,9.8,36.6,127.5,366.7,816.3,1335.6,1819.4
1.8,2.7,2.5,4.5,10,37.1,127.6,374.6,827.1,1331.5,1805.8
30.7,7.9,4,31.9,53.7,51.8,54.6,52.7,49.1,110.7,365.7
32.5,7.8,3.7,28.5,44.8,43.9,49.8,47.7,47,111.5,364.5
29.4,7.6,3.6,26.8,39.8,39.6,47.4,44.9,45.1,108.7,349.1
29.3,8.3,3.7,26.4,37.8,38,46.5,43.4,43.5,107.4,340
29.6,8.4,3.8,27.1,37.5,37.1,46.1,41,44,107.8,336.9
29.1,8.5,4,28.2,37.1,37.5,46.4,39.8,44.5,107,333.8
28.1,8.6,4,28.3,35.5,36,43.7,38.4,43.3,106.1,328.4
29.5,9,4.1,28.6,34.5,36.4,44.5,36.5,42.1,103.5,310.9
