@relation Agglomerative-Entry-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute Gender string
@attribute Country string
@attribute Entry string
@attribute Continent string

@data
1,Female,United,States,August
2,Female,Nepal,August,ASIA
3,Female,VietNam,August,ASIA
4,Female,Eritrea,August,AFRICA
5,Male,VietNam,August,ASIA
6,Male,VietNam,August,ASIA
7,Male,Pakistan,August,ASIA
8,Male,Egypt,August,AFRICA
9,Male,Eritrea,August,AFRICA
10,Male,Kazakhstan,August,EUROPE
11,Male,Cameroon,August,AFRICA
12,Male,Pakistan,August,ASIA
13,Male,Libya,August,ASIA
14,Male,Brazil,August,AMERICA
15,Female,Brazil,August,AMERICA
16,Female,VietNam,August,ASIA
17,Male,Nepal,August,ASIA
18,Male,Nepal,August,ASIA
19,Male,Ethiopia,August,AFRICA
20,Male,Ethiopia,August,AFRICA
21,Male,Ethiopia,August,AFRICA
22,Male,Ethiopia,August,AFRICA
23,Male,Pakistan,August,ASIA
24,Male,Nepal,August,ASIA
25,Male,China,August,ASIA
26,Female,India,August,ASIA
27,Female,Egypt,August,AFRICA
28,Male,Egypt,August,AFRICA
29,Male,Egypt,August,AFRICA
30,Male,Namibia,August,AFRICA
31,Male,Azerbaijan,August,ASIA
32,Male,VietNam,August,ASIA
33,Female,VietNam,August,ASIA
34,Female,VietNam,August,ASIA
35,Male,VietNam,August,ASIA
36,Male,VietNam,August,ASIA
37,Female,VietNam,August,ASIA
38,Female,China,August,ASIA
39,Male,Pakistan,August,ASIA
40,Male,Pakistan,August,ASIA
41,Male,Nigeria,August,AFRICA
42,Female,Sudan,August,AFRICA
43,Male,Ethiopia,August,AFRICA
44,Male,Colombia,August,AMERICA
45,Female,VietNam,August,ASIA
46,Male,VietNam,August,ASIA
47,Male,Nepal,August,ASIA
48,Male,Nepal,August,ASIA
49,Male,VietNam,August,ASIA
50,Male,Nepal,August,ASIA
51,Male,Ethiopia,August,AFRICA
52,Male,Ethiopia,August,AFRICA
53,Male,Uzbekistan,August,EUROPE
54,Male,Mongolia,August,ASIA
55,Male,Eritrea,August,AFRICA
56,Male,Ethiopia,August,AFRICA
57,Male,Rwanda,August,AFRICA
58,Male,Pakistan,August,ASIA
59,Male,Myanmar,August,ASIA
60,Male,Uganda,August,AFRICA
61,Male,Ecuador,August,AMERICA
62,Male,Mongolia,August,ASIA
63,Male,Mongolia,August,ASIA
64,Male,Mongolia,August,ASIA
65,Male,United,States,August
66,Male,Eritrea,August,AFRICA
67,Male,Congo,the,Democratic
68,of,the,August,AFRICA
69,Male,VietNam,August,ASIA
70,Male,Ethiopia,August,AFRICA
71,Male,Mongolia,August,ASIA
72,Male,Mongolia,August,ASIA
73,Male,Haiti,August,AMERICA
74,Male,Haiti,August,AMERICA
75,Male,Ethiopia,August,AFRICA
76,Male,Eritrea,August,AFRICA
77,Male,Colombia,August,AMERICA
78,Male,Ethiopia,August,AFRICA
79,Male,Nepal,August,ASIA
80,Male,Pakistan,August,ASIA
81,Male,Eritrea,August,AFRICA
82,Male,Eritrea,August,AFRICA
83,Male,Mongolia,August,ASIA
84,Male,Mongolia,August,ASIA
85,Male,Cambodia,August,ASIA
86,Male,Eritrea,August,AFRICA
87,Male,Ethiopia,August,AFRICA
88,Male,Eritrea,August,AFRICA
89,Male,United,States,August
90,Male,United,States,August
91,Male,Eritrea,August,AFRICA
92,Female,Mongolia,August,ASIA
93,Female,Eritrea,August,AFRICA
